Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8048261178140526,0.6622950819672131,0.5401069518716578,0.5949926362297496
Random Forest,0.7856635911994322,0.6208053691275168,0.4946524064171123,0.5505952380952381
XGBoost,0.7906316536550745,0.6215384615384615,0.5401069518716578,0.5779685264663805
